articleId,productCode,prodName,graphicalAppearanceName,colourGroupName
108775015,108775,Strap top,Solid,Black
108775044,108775,Strap top,Solid,White
110065001,110065,OP T-shirt (Idro),Solid,Black
111565001,111565,20 den 1p Stockings,Solid,Black
111586001,111586,Shape Up 30 den 1p Tights,Solid,Black
111593001,111593,Support 40 den 1p Tights,Solid,Black
111609001,111609,200 den 1p Tights,Solid,Black
118458004,118458,Jerry jogger bottoms,Melange,Grey
118458029,118458,Jerry jogger bottoms,Melange,Dark Grey
120129001,120129,Babette long,Solid,Black
120129014,120129,Babette long,Melange,Black
123173001,123173,Control Top 50 den 1p Tights,Solid,Black
129085001,129085,Pirate Leggings (1),Solid,Black
129085026,129085,Pirate Leggings (1),Solid,White
129085027,129085,Pirate Leggings (1),Melange,Grey
130035001,130035,Black Umbrella,Solid,Black
146706001,146706,Tanktop body white 3PACK,Solid,White
146721002,146721,Hair Ring,Solid,Silver
148033001,148033,Nouvelle 1p Stay Up,Solid,Black
153115019,153115,OP Strapless^,Solid,Black
153115020,153115,OP Strapless^,Solid,Light Beige
153115039,153115,OP Strapless^,Solid,Dark Pink
156227001,156227,Box 4p Kneehighs,Solid,Black
156231001,156231,Box 4p Tights,Solid,Black
158340001,158340,Highwaist 30 den 1p Tights,Solid,Black
160442007,160442,3p Sneaker Socks,Solid,Black
160442010,160442,3p Sneaker Socks,Solid,White
160442043,160442,3p Sneaker Socks,Melange,Light Grey
176209040,176209,Mr Harrington w/hood,Solid,Dark Blue
179123001,179123,Long Leggings,Solid,Black
179208001,179208,Control Top 100 den 1p Tights,Solid,Black
179950001,179950,Austin basic leather hip belt,Solid,Black
179950017,179950,Austin basic leather hip belt,Solid,Black
181448022,181448,Jenny 5-pack,Solid,Black
181448103,181448,Jenny 5-pack,Stripe,Other Pink
181448109,181448,Jenny 5-pack,Dot,Yellow
182909001,182909,Fleece 1 p tights,Solid,Black
186262001,186262,4p Claw,Solid,Black
186262006,186262,4p Claw,Solid,Greyish Beige
186266004,186266,10p Basic Terry,Solid,Black
186267001,186267,12p Claw,Solid,Black
186372011,186372,Harem trousers,Solid,Black
186372045,186372,Harem trousers,All over pattern,Dark Blue
