articleId,departmentNo
108775015,1676
108775044,1676
110065001,1339
111565001,3608
111586001,3608
111593001,3608
111609001,3608
118458004,5883
118458029,5883
120129001,2032
120129014,2032
123173001,3608
129085001,1676
129085026,1676
129085027,1676
130035001,3419
146706001,6515
146721002,4342
148033001,3608
153115019,1339
153115020,1339
153115039,1339
156227001,3608
156231001,3608
158340001,3608
160442007,3611
160442010,3611
160442043,3611
176209040,5283
179123001,1676
179208001,3608
179950001,3509
179950017,3509
181448022,3937
181448103,3937
181448109,3937
182909001,3608
186262001,4343
186262006,4343
186266004,4343
186267001,4343
186372011,1676
186372045,1676
188183001,4242
188183015,4242
188183016,4242
188183021,4242
188183022,4242
189616001,1643
189616006,1643
189616007,1643
189616008,1643
189616014,1643
189616028,1643
189616038,1643
189626001,1643
189634001,1643
189654001,1643
190021021,3611
194037001,3608
198714001,2032
200182001,3608
201219001,3608
201219003,3608
205225001,4242
212629004,1643
212629035,1643
212629040,1643
212629043,1643
212629048,1643
212629051,1643
212766045,5683
214844001,4343
214844002,4343
214844003,4343
215303001,8888
215303002,8888
215589002,3608
216081011,5963
217727002,3610
217727003,3610
218829002,3519
219075014,5656
219075021,5656
220094001,1676
220094010,1676
220094011,1676
220094015,1676
224606019,3509
224606031,3509
225784001,7930
228257001,3608
228257005,3608
234421001,3608
234432002,3608
237347004,1676
237347040,1676
237347045,1676
237347052,1676
237347053,1676
240561001,3608
241412038,1649
243937001,3611
243937024,3611
244267027,1626
244267032,1626
251510001,3608
252298002,5961
252298006,5961
252298014,1649
253176016,4242
253448001,1339
253448002,1339
253448003,1339
254940026,1722
256151015,5961
258650001,3929
264984001,1676
265630004,3610
265630006,3610
266875001,3610
266875006,3610
266875024,3611
270375001,8888
270375004,8888
270375006,8888
270381001,8888
270381007,8888
278811002,3710
278811006,3710
278811007,3710
282832015,8558
293433026,7921
293510001,7931
293510009,7931
294008002,1919
294008050,1919
294008056,1919
294076007,2031
296476012,7932
297067002,3608
297078001,3608
297078002,3608
299768002,9985
300024006,2031
300024013,2031
300024016,2031
300024042,2031
300908004,5960
301227002,7188
301656013,1773
301656017,1773
301656018,1779
301656026,1773
304778011,3611
304786006,3610
305304008,1745
305304010,1745
305775003,7921
305931001,3608
307239004,3710
307239005,3710
307656020,1643
309864002,8956
309864013,8956
312543001,5961
312878001,5960
315509024,9985
315795001,9986
316085001,1643
316085002,1643
316441001,1676
316441011,1676
316441024,1676
316441025,1676
316441036,1676
316441038,1676
318035018,3419
318066004,3945
318066014,3945
318951024,6515
322017003,3419
322322012,9985
324502001,3519
324946001,3608
324963007,3419
